artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10,title_spotify,artist_spotify,id_spotify,match_score,image,tags
Daft Punk feat. Pharrell Williams,Get Lucky,165,4,1,2013,2013,16,Get Lucky (feat. Pharrell Williams and Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers",69kOkLUCkxIZYexIgSG8rq,0.9607959151268004,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937,"['electronic', 'Disco', 'funk', 'dance', 'House']"
Klingande,Jubel,161,5,1,2013,2013,11,Jubel - Original Mix,Klingande,0lQbX3amNVtcUoR1l8zoGQ,0.7969696521759033,https://i.scdn.co/image/ab67616d0000b27366c9cd5893c7ed9a60a4b969,"['electronic', 'pop', 'lounge', 'easy listening', 'House']"
Passenger,Let Her Go,151,6,1,2013,2013,12,Let Her Go,Passenger,4bzBPrGYD3fQfAadLgIiwT,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b2732753d9786604e09ebdbf0244,"['folk', 'acoustic', 'british', 'let her go', '2012']"
Capital Cities,Safe And Sound,141,7,1,2013,2013,15,Safe and Sound,Capital Cities,5JVbvCHX10U2pLa5DEqGav,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b273b03e92f4e7dcd9db3a06c869,"['indie', 'electronic', 'pop', 'alternative', 'indie pop']"
Naughty Boy feat. Sam Smith,La La La,130,8,2,2013,2013,13,La La La,"Naughty Boy, Sam Smith",52gvlDnre9craz9dKGObp8,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b2739213b0453a98f037f2230f3e,"['pop', 'electronic', 'british', 'UK Garage', 'uk number one']"
The Script feat. Will.i.am,Hall Of Fame,119,9,2,2012,2013,14,Hall of Fame (feat. will.i.am),"The Script, will.i.am",7wMq5n8mYSKlQIGECKUgTX,0.9999999582767488,https://i.scdn.co/image/ab67616d0000b2732e3049fef96abebf336b7366,"['pop', 'hall of fame', 'pop rock', 'rock', 'irish']"
Macklemore & Ryan Lewis & Wanz,Thrift Shop,118,10,2,2012,2013,14,Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",6CjtS2JZH9RkDz5UVInsa9,0.991462218761444,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d,"['hip hop', 'Hip-Hop', '2013', 'rap', '2012']"
Avicii,Hey Brother,116,11,1,2013,2013,10,Hey Brother,Avicii,4lhqb6JvbHId48OUJGwymk,1.0,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7,"['dance', 'pop', 'electronic', 'country house', 'country']"
Macklemore & Ryan Lewis & Ray Dalton,Can't Hold Us,106,12,2,2013,2013,16,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",22skzmqfdWrjJylampe0kt,0.9935288488864896,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d,"['Hip-Hop', 'hip hop', 'Macklemore', 'noise', 'black metal']"
Katy Perry,Roar,105,13,2,2013,2013,10,Roar,Katy Perry,6F5c58TMEs1byxUstkzVeM,0.9999999821186064,https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2,"['pop', 'katy perry', 'roar', '2013', 'female vocalists']"
